index,id,language,setCode,translation
0,1,Chinese Simplified,SOK,
1,2,Chinese Traditional,SOK,
2,3,French,SOK,Libérateurs de Kamigawa
3,4,German,SOK,
4,5,Italian,SOK,
5,6,Japanese,SOK,
6,7,Korean,SOK,
7,8,Portuguese (Brazil),SOK,
8,9,Russian,SOK,
9,10,Spanish,SOK,
10,11,Chinese Simplified,STH,
11,12,Chinese Traditional,STH,
12,13,French,STH,Forteresse
13,14,German,STH,
14,15,Italian,STH,
15,16,Japanese,STH,
16,17,Korean,STH,
17,18,Portuguese (Brazil),STH,
18,19,Russian,STH,
19,20,Spanish,STH,
20,21,Chinese Simplified,7ED,
21,22,Chinese Traditional,7ED,
22,23,French,7ED,Septième édition
23,24,German,7ED,
24,25,Italian,7ED,
25,26,Japanese,7ED,
26,27,Korean,7ED,
27,28,Portuguese (Brazil),7ED,
28,29,Russian,7ED,
29,30,Spanish,7ED,
30,31,Chinese Simplified,IKO,
31,32,Chinese Traditional,IKO,
32,33,French,IKO,Ikoria la Terre de Béhémoths
33,34,German,IKO,
34,35,Italian,IKO,
35,36,Japanese,IKO,
36,37,Korean,IKO,
37,38,Portuguese (Brazil),IKO,
38,39,Russian,IKO,
39,40,Spanish,IKO,
40,41,Chinese Simplified,ELD,
41,42,Chinese Traditional,ELD,
42,43,French,ELD,Le Trône d'Eldraine
43,44,German,ELD,
44,45,Italian,ELD,
45,46,Japanese,ELD,
46,47,Korean,ELD,
47,48,Portuguese (Brazil),ELD,
48,49,Russian,ELD,
49,50,Spanish,ELD,
50,51,Chinese Simplified,THB,
51,52,Chinese Traditional,THB,
52,53,French,THB,Theros par-delà la mort
53,54,German,THB,
54,55,Italian,THB,
55,56,Japanese,THB,
56,57,Korean,THB,
57,58,Portuguese (Brazil),THB,
58,59,Russian,THB,
59,60,Spanish,THB,
60,61,Chinese Simplified,CHK,
61,62,Chinese Traditional,CHK,
62,63,French,CHK,Guerriers de Kamigawa
63,64,German,CHK,
64,65,Italian,CHK,
65,66,Japanese,CHK,
66,67,Korean,CHK,
67,68,Portuguese (Brazil),CHK,
68,69,Russian,CHK,
69,70,Spanish,CHK,
70,71,Chinese Simplified,M20,
71,72,Chinese Traditional,M20,
72,73,French,M20,Edition de base 2020
73,74,German,M20,
74,75,Italian,M20,
75,76,Japanese,M20,
76,77,Korean,M20,
77,78,Portuguese (Brazil),M20,
78,79,Russian,M20,
79,80,Spanish,M20,
80,81,Chinese Simplified,4ED,
81,82,Chinese Traditional,4ED,
82,83,French,4ED,Quatrième édition
83,84,German,4ED,
84,85,Italian,4ED,
85,86,Japanese,4ED,
86,87,Korean,4ED,
87,88,Portuguese (Brazil),4ED,
88,89,Russian,4ED,
89,90,Spanish,4ED,
90,91,Chinese Simplified,WAR,
91,92,Chinese Traditional,WAR,
92,93,French,WAR,La Guerre des Planeswlakers
93,94,German,WAR,
94,95,Italian,WAR,
95,96,Japanese,WAR,
96,97,Korean,WAR,
97,98,Portuguese (Brazil),WAR,
98,99,Russian,WAR,
99,100,Spanish,WAR,
100,101,Chinese Simplified,5ED,
101,102,Chinese Traditional,5ED,
102,103,French,5ED,Cinquième édition
103,104,German,5ED,
104,105,Italian,5ED,
105,106,Japanese,5ED,
106,107,Korean,5ED,
107,108,Portuguese (Brazil),5ED,
108,109,Russian,5ED,
109,110,Spanish,5ED,
110,111,Chinese Simplified,UDS,
111,112,Chinese Traditional,UDS,
112,113,French,UDS,La destinée d'Urza
113,114,German,UDS,
114,115,Italian,UDS,
115,116,Japanese,UDS,
116,117,Korean,UDS,
117,118,Portuguese (Brazil),UDS,
118,119,Russian,UDS,
119,120,Spanish,UDS,
120,121,Chinese Simplified,WTH,
121,122,Chinese Traditional,WTH,
122,123,French,WTH,Aquilon
123,124,German,WTH,
124,125,Italian,WTH,
125,126,Japanese,WTH,
126,127,Korean,WTH,
127,128,Portuguese (Brazil),WTH,
128,129,Russian,WTH,
129,130,Spanish,WTH,
130,131,Chinese Simplified,PCY,
131,132,Chinese Traditional,PCY,
132,133,French,PCY,Prophétie
133,134,German,PCY,
134,135,Italian,PCY,
135,136,Japanese,PCY,
136,137,Korean,PCY,
137,138,Portuguese (Brazil),PCY,
138,139,Russian,PCY,
139,140,Spanish,PCY,
140,141,Chinese Simplified,MMQ,
141,142,Chinese Traditional,MMQ,
142,143,French,MMQ,Masques de Mercadia
143,144,German,MMQ,
144,145,Italian,MMQ,
145,146,Japanese,MMQ,
146,147,Korean,MMQ,
147,148,Portuguese (Brazil),MMQ,
148,149,Russian,MMQ,
149,150,Spanish,MMQ,
150,151,Chinese Simplified,ICE,
151,152,Chinese Traditional,ICE,
152,153,French,ICE,Ère glaciaire
153,154,German,ICE,
154,155,Italian,ICE,
155,156,Japanese,ICE,
156,157,Korean,ICE,
157,158,Portuguese (Brazil),ICE,
158,159,Russian,ICE,
159,160,Spanish,ICE,
160,161,Chinese Simplified,ULG,
161,162,Chinese Traditional,ULG,
162,163,French,ULG,L'héritage d'Urza
163,164,German,ULG,
164,165,Italian,ULG,
165,166,Japanese,ULG,
166,167,Korean,ULG,
167,168,Portuguese (Brazil),ULG,
168,169,Russian,ULG,
169,170,Spanish,ULG,
170,171,Chinese Simplified,TMP,
171,172,Chinese Traditional,TMP,
172,173,French,TMP,Tempête
173,174,German,TMP,
174,175,Italian,TMP,
175,176,Japanese,TMP,
176,177,Korean,TMP,
177,178,Portuguese (Brazil),TMP,
178,179,Russian,TMP,
179,180,Spanish,TMP,
180,181,Chinese Simplified,6ED,
181,182,Chinese Traditional,6ED,
182,183,French,6ED,Sixième édition
183,184,German,6ED,
184,185,Italian,6ED,
185,186,Japanese,6ED,
186,187,Korean,6ED,
187,188,Portuguese (Brazil),6ED,
188,189,Russian,6ED,
189,190,Spanish,6ED,
190,191,Chinese Simplified,BOK,
191,192,Chinese Traditional,BOK,
192,193,French,BOK,Traîtres de Kamigawa
193,194,German,BOK,
194,195,Italian,BOK,
195,196,Japanese,BOK,
196,197,Korean,BOK,
197,198,Portuguese (Brazil),BOK,
198,199,Russian,BOK,
199,200,Spanish,BOK,
200,201,Chinese Simplified,RNA,
201,202,Chinese Traditional,RNA,
202,203,French,RNA,L'allégeance de Ravnica
203,204,German,RNA,
204,205,Italian,RNA,
205,206,Japanese,RNA,
206,207,Korean,RNA,
207,208,Portuguese (Brazil),RNA,
208,209,Russian,RNA,
209,210,Spanish,RNA,
210,211,Chinese Simplified,RIX,
211,212,Chinese Traditional,RIX,
212,213,French,RIX,Les combattants d'Ixalan
213,214,German,RIX,
214,215,Italian,RIX,
215,216,Japanese,RIX,
216,217,Korean,RIX,
217,218,Portuguese (Brazil),RIX,
218,219,Russian,RIX,
219,220,Spanish,RIX,
220,221,Chinese Simplified,EMN,
221,222,Chinese Traditional,EMN,
222,223,French,EMN,La Lune Hermétique
223,224,German,EMN,
224,225,Italian,EMN,
225,226,Japanese,EMN,
226,227,Korean,EMN,
227,228,Portuguese (Brazil),EMN,
228,229,Russian,EMN,
229,230,Spanish,EMN,
230,231,Chinese Simplified,HML,
231,232,Chinese Traditional,HML,
232,233,French,HML,Terres natales
233,234,German,HML,
234,235,Italian,HML,
235,236,Japanese,HML,
236,237,Korean,HML,
237,238,Portuguese (Brazil),HML,
238,239,Russian,HML,
239,240,Spanish,HML,
240,241,Chinese Simplified,USG,
241,242,Chinese Traditional,USG,
242,243,French,USG,L'épopée d'Urza
243,244,German,USG,
244,245,Italian,USG,
245,246,Japanese,USG,
246,247,Korean,USG,
247,248,Portuguese (Brazil),USG,
248,249,Russian,USG,
249,250,Spanish,USG,
250,251,Chinese Simplified,DOM,
251,252,Chinese Traditional,DOM,
252,253,French,DOM,Dominaria
253,254,German,DOM,
254,255,Italian,DOM,
255,256,Japanese,DOM,
256,257,Korean,DOM,
257,258,Portuguese (Brazil),DOM,
258,259,Russian,DOM,
259,260,Spanish,DOM,
260,261,Chinese Simplified,EXO,
261,262,Chinese Traditional,EXO,
262,263,French,EXO,Exode
263,264,German,EXO,
264,265,Italian,EXO,
265,266,Japanese,EXO,
266,267,Korean,EXO,
267,268,Portuguese (Brazil),EXO,
268,269,Russian,EXO,
269,270,Spanish,EXO,
270,271,Chinese Simplified,M21,
271,272,Chinese Traditional,M21,
272,273,French,M21,Edition de base 2021
273,274,German,M21,
274,275,Italian,M21,
275,276,Japanese,M21,
276,277,Korean,M21,
277,278,Portuguese (Brazil),M21,
278,279,Russian,M21,
279,280,Spanish,M21,
